original_relpath,preview_relpath,orig_w,orig_h,orig_size_kb,prev_w,prev_h,prev_size_kb,saved_pct,status
installations-2025\new-narrative-of-foshan\part-5.png,installations-2025\new-narrative-of-foshan\preview\part-5.webp,7008,3944,26772.91,2000,1126,99.44,99.63,SKIPPED_UP_TO_DATE
installations-2025\new-narrative-of-foshan\part-6.png,installations-2025\new-narrative-of-foshan\preview\part-6.webp,1050,946,980.24,800,721,37.41,96.18,SKIPPED_UP_TO_DATE
installations-2025\new-narrative-of-foshan\part-7.jpg,installations-2025\new-narrative-of-foshan\preview\part-7.webp,5568,3944,1690.3,2000,1417,153.04,90.95,SKIPPED_UP_TO_DATE
paintings-2026\becoming-mountain\main-1.jpg,paintings-2026\becoming-mountain\preview\main-1.webp,2669,4189,5284.79,1274,2000,509.72,90.35,SKIPPED_UP_TO_DATE
installations-2025\spirit-dwelling\main-1.jpg,installations-2025\spirit-dwelling\preview\main-1.webp,2871,3739,2708.82,1536,2000,297.38,89.02,SKIPPED_UP_TO_DATE
installations-2025\spirit-dwelling\part-4.jpg,installations-2025\spirit-dwelling\preview\part-4.webp,3024,4032,2379.12,1500,2000,328.93,86.17,SKIPPED_UP_TO_DATE
installations-2025\spirit-dwelling\part-2.jpg,installations-2025\spirit-dwelling\preview\part-2.webp,3024,4032,2593.41,1500,2000,379.92,85.35,SKIPPED_UP_TO_DATE
installations-2025\spirit-dwelling\part-1.jpg,installations-2025\spirit-dwelling\preview\part-1.webp,3024,4032,5000.72,1500,2000,636.72,87.27,SKIPPED_UP_TO_DATE
installations-2025\spirit-dwelling\part-3.jpg,installations-2025\spirit-dwelling\preview\part-3.webp,3024,4032,2542.13,1500,2000,369.46,85.47,SKIPPED_UP_TO_DATE
installations-2025\spirit-dwelling\part-5.jpg,installations-2025\spirit-dwelling\preview\part-5.webp,3024,4032,3090.33,1500,2000,437.64,85.84,SKIPPED_UP_TO_DATE
installations-2025\spirit-dwelling\part-6.jpg,installations-2025\spirit-dwelling\preview\part-6.webp,2966,3954,3131.21,1500,2000,335.63,89.28,SKIPPED_UP_TO_DATE
paintings-2026\covers\becoming-mountain.jpg,paintings-2026\covers\preview\becoming-mountain.webp,2669,4189,5284.79,1274,2000,509.72,90.35,SKIPPED_UP_TO_DATE
installations-2025\spirit-dwelling\part-7.jpg,installations-2025\spirit-dwelling\preview\part-7.webp,3024,4032,4021.89,1500,2000,518.05,87.12,SKIPPED_UP_TO_DATE
installations-2025\spirit-dwelling\part-8.jpg,installations-2025\spirit-dwelling\preview\part-8.webp,3024,4032,3300,1500,2000,363.92,88.97,SKIPPED_UP_TO_DATE
paintings-2026\covers\the-mountain-of-spirits.jpg,paintings-2026\covers\preview\the-mountain-of-spirits.webp,5446,4029,12316.07,2000,1480,397.75,96.77,SKIPPED_UP_TO_DATE
paintings-2026\covers\tree-pulse.jpg,paintings-2026\covers\preview\tree-pulse.webp,2544,3217,3136.8,1582,2000,302.02,90.37,SKIPPED_UP_TO_DATE
paintings-2026\covers\world-tree.jpg,paintings-2026\covers\preview\world-tree.webp,2264,3923,4062.8,1154,2000,395.29,90.27,SKIPPED_UP_TO_DATE
paintings-2026\tree-pulse\main-1.jpg,paintings-2026\tree-pulse\preview\main-1.webp,2544,3217,3136.8,1582,2000,302.02,90.37,SKIPPED_UP_TO_DATE
paintings-2026\worlding\main-1.jpg,paintings-2026\worlding\preview\main-1.webp,3530,1869,2856.1,2000,1059,281.18,90.16,SKIPPED_UP_TO_DATE
paintings-2026\covers\worlding.jpg,paintings-2026\covers\preview\worlding.webp,3530,1869,2856.1,2000,1059,281.18,90.16,SKIPPED_UP_TO_DATE
installations-2025\spirit-dwelling\part-9.jpg,installations-2025\spirit-dwelling\preview\part-9.webp,3024,4032,3621.35,1500,2000,551.62,84.77,SKIPPED_UP_TO_DATE
paintings-2026\world-tree\main-1.jpg,paintings-2026\world-tree\preview\main-1.webp,2264,3923,4062.8,1154,2000,395.29,90.27,SKIPPED_UP_TO_DATE
paintings-2026\the-mountain-of-spirits\main-1.jpg,paintings-2026\the-mountain-of-spirits\preview\main-1.webp,5446,4029,12316.07,2000,1480,397.75,96.77,SKIPPED_UP_TO_DATE
paintings-2024\collaged-love\main-1.png,paintings-2024\collaged-love\preview\main-1.webp,2900,2092,8204.18,1600,1154,405.7,95.05,SKIPPED_UP_TO_DATE
paintings-2024\covers\collaged-love.png,paintings-2024\covers\preview\collaged-love.webp,2900,2092,8204.18,1600,1154,405.7,95.05,SKIPPED_UP_TO_DATE
paintings-2024\bapo-shanshui\main-1.jpg,paintings-2024\bapo-shanshui\preview\main-1.webp,4124,3043,5707.02,2000,1476,202.41,96.45,SKIPPED_UP_TO_DATE
paintings-2024\covers\bapo-shanshui.jpg,paintings-2024\covers\preview\bapo-shanshui.webp,4124,3043,5707.02,2000,1476,202.41,96.45,SKIPPED_UP_TO_DATE
paintings-2024\covers\fragments-of-memory.png,paintings-2024\covers\preview\fragments-of-memory.webp,2094,172,880.47,1047,86,29.27,96.68,SKIPPED_UP_TO_DATE
paintings-2024\covers\verdant-heaven.jpg,paintings-2024\covers\preview\verdant-heaven.webp,3885,5570,4904.61,1395,2000,517.68,89.45,SKIPPED_UP_TO_DATE
paintings-2024\covers\sacred-sapling.jpg,paintings-2024\covers\preview\sacred-sapling.webp,1094,1109,979.24,789,800,143.98,85.3,SKIPPED_UP_TO_DATE
paintings-2024\sacred-sapling\main-1.jpg,paintings-2024\sacred-sapling\preview\main-1.webp,1094,1109,979.24,789,800,143.98,85.3,SKIPPED_UP_TO_DATE
paintings-2024\fragments-of-memory\part-10.jpg,paintings-2024\fragments-of-memory\preview\part-10.webp,532,812,72.46,,,,,SKIPPED_TOO_SMALL
paintings-2024\fragments-of-memory\main-1.png,paintings-2024\fragments-of-memory\preview\main-1.webp,2094,172,880.47,1047,86,29.27,96.68,SKIPPED_UP_TO_DATE
paintings-2024\fragments-of-memory\part-11.jpg,paintings-2024\fragments-of-memory\preview\part-11.webp,2272,1664,393.83,1200,879,117.17,70.25,SKIPPED_UP_TO_DATE
