original_relpath,preview_relpath,orig_w,orig_h,orig_size_kb,prev_w,prev_h,prev_size_kb,saved_pct,status
paintings-2025\sinking\main-1.jpg,paintings-2025\sinking\preview\main-1.webp,6295,5126,16005.38,2000,1629,285.47,98.22,SKIPPED_UP_TO_DATE
paintings-2025\sinking\sinking.jpg,paintings-2025\sinking\preview\sinking.webp,6295,5126,16005.38,2000,1629,285.47,98.22,SKIPPED_UP_TO_DATE
paintings-2025\tree-spirit\part-1.jpg,paintings-2025\tree-spirit\preview\part-1.webp,4911,6589,17545.93,1491,2000,215.84,98.77,SKIPPED_UP_TO_DATE
paintings-2025\tree-spirit\part-2.jpg,paintings-2025\tree-spirit\preview\part-2.webp,4122,5347,10799.77,1542,2000,778.37,92.79,SKIPPED_UP_TO_DATE
paintings-2025\tree-spirit\part-3.jpg,paintings-2025\tree-spirit\preview\part-3.webp,4793,6130,11997.6,1564,2000,411.19,96.57,SKIPPED_UP_TO_DATE
workshops-2026\covers\weishan-memory-collage-workshop.png,workshops-2026\covers\preview\weishan-memory-collage-workshop.webp,836,625,861.45,836,625,82.59,90.41,SKIPPED_UP_TO_DATE
workshops-2026\weishan-memory-collage-workshop\main-1.png,workshops-2026\weishan-memory-collage-workshop\preview\main-1.webp,836,625,861.45,836,625,82.59,90.41,SKIPPED_UP_TO_DATE
workshops-2025\covers\the-memory-ritual-of-leaves-and-trees.jpg,workshops-2025\covers\preview\the-memory-ritual-of-leaves-and-trees.webp,3512,3512,3054.46,2000,2000,300.78,90.15,SKIPPED_UP_TO_DATE
paintings-2025\wildmans-paradise\main-1.jpg,paintings-2025\wildmans-paradise\preview\main-1.webp,1304,1656,1416.57,945,1200,188.77,86.67,SKIPPED_UP_TO_DATE
workshops-2026\weishan-memory-collage-workshop\part-1.jpg,workshops-2026\weishan-memory-collage-workshop\preview\part-1.webp,1667,2386,1039.45,838,1200,95.23,90.84,SKIPPED_UP_TO_DATE
workshops-2026\weishan-memory-collage-workshop\part-3.jpg,workshops-2026\weishan-memory-collage-workshop\preview\part-3.webp,2688,3651,1420.04,1472,2000,308.85,78.25,SKIPPED_UP_TO_DATE
workshops-2026\weishan-memory-collage-workshop\part-2.jpg,workshops-2026\weishan-memory-collage-workshop\preview\part-2.webp,2748,3929,1325.45,1399,2000,222.71,83.2,SKIPPED_UP_TO_DATE
workshops-2026\weishan-memory-collage-workshop\part-4.jpg,workshops-2026\weishan-memory-collage-workshop\preview\part-4.webp,3721,2460,1510.39,2000,1322,172.11,88.61,SKIPPED_UP_TO_DATE
workshops-2026\weishan-memory-collage-workshop\part-5.jpg,workshops-2026\weishan-memory-collage-workshop\preview\part-5.webp,3156,2188,1335.93,1600,1109,140.88,89.45,SKIPPED_UP_TO_DATE
workshops-2026\weishan-memory-collage-workshop\part-6.jpg,workshops-2026\weishan-memory-collage-workshop\preview\part-6.webp,3690,2520,1333.98,2000,1366,117.93,91.16,SKIPPED_UP_TO_DATE
workshops-2026\weishan-memory-collage-workshop\part-7.jpg,workshops-2026\weishan-memory-collage-workshop\preview\part-7.webp,3816,2554,1379.13,2000,1339,114.59,91.69,SKIPPED_UP_TO_DATE
workshops-2026\weishan-memory-collage-workshop\part-8.jpg,workshops-2026\weishan-memory-collage-workshop\preview\part-8.webp,3805,2535,1146,2000,1332,196.98,82.81,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-1.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-1.webp,6240,3512,8703.43,2000,1126,28.85,99.67,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\main-1.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\main-1.webp,3512,3512,3054.46,2000,2000,300.78,90.15,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-10.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-10.webp,2560,3840,581.04,1333,2000,99.57,82.86,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-11.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-11.webp,1279,1706,284.67,900,1200,116.04,59.24,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-2.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-2.webp,1280,1707,164.67,900,1200,56.65,65.6,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-3.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-3.webp,1280,1707,133.1,900,1200,43.15,67.58,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-5.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-5.webp,1280,1707,172,900,1200,53.22,69.06,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-7.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-7.webp,1280,1707,213.37,900,1200,81.38,61.86,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-6.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-6.webp,1280,1707,132.69,900,1200,31.61,76.18,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-8.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-8.webp,1279,1706,202.56,900,1200,71.32,64.79,SKIPPED_UP_TO_DATE
installations-2025\memory-nearby\huzhou-version\main-1.jpg,installations-2025\memory-nearby\huzhou-version\preview\main-1.webp,1280,1707,228.89,900,1200,89.7,60.81,SKIPPED_UP_TO_DATE
installations-2025\memory-nearby\huzhou-version\part-1.jpg,installations-2025\memory-nearby\huzhou-version\preview\part-1.webp,6240,3512,8590.81,2000,1126,33.84,99.61,SKIPPED_UP_TO_DATE
installations-2025\memory-nearby\huzhou-version\part-2.jpg,installations-2025\memory-nearby\huzhou-version\preview\part-2.webp,6240,3512,9295.66,2000,1126,61.29,99.34,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-9.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-9.webp,2435,3247,1810.5,1500,2000,173.86,90.4,SKIPPED_UP_TO_DATE
installations-2025\memory-nearby\huzhou-version\part-4.jpg,installations-2025\memory-nearby\huzhou-version\preview\part-4.webp,1280,1707,195.26,900,1200,71.84,63.21,SKIPPED_UP_TO_DATE
installations-2025\memory-nearby\huzhou-version\part-3.jpg,installations-2025\memory-nearby\huzhou-version\preview\part-3.webp,4032,3024,5775.86,2000,1500,236.51,95.91,SKIPPED_UP_TO_DATE
workshops-2025\the-memory-ritual-of-leaves-and-trees\part-4.jpg,workshops-2025\the-memory-ritual-of-leaves-and-trees\preview\part-4.webp,3024,4032,2430.43,1500,2000,152.24,93.74,SKIPPED_UP_TO_DATE
installations-2025\memory-nearby\chengdu-version\main-1.jpg,installations-2025\memory-nearby\chengdu-version\preview\main-1.webp,4032,3024,2611.75,2000,1500,260.36,90.03,SKIPPED_UP_TO_DATE
installations-2025\memory-nearby\chengdu-version\part-1.jpg,installations-2025\memory-nearby\chengdu-version\preview\part-1.webp,3024,4032,1970.63,1500,2000,129.06,93.45,SKIPPED_UP_TO_DATE
installations-2025\memory-nearby\chengdu-version\part-2.jpg,installations-2025\memory-nearby\chengdu-version\preview\part-2.webp,3024,4032,3304.91,1500,2000,226.06,93.16,SKIPPED_UP_TO_DATE
installations-2025\memory-nearby\chengdu-version\part-3.jpg,installations-2025\memory-nearby\chengdu-version\preview\part-3.webp,3024,4032,3565.06,1500,2000,469.99,86.82,SKIPPED_UP_TO_DATE
installations-2025\memory-nearby\chengdu-version\part-4.jpg,installations-2025\memory-nearby\chengdu-version\preview\part-4.webp,3024,4032,3258.63,1500,2000,377.92,88.4,SKIPPED_UP_TO_DATE
